age,priors_count,days_b_screening_arrest,is_recid,is_violent_recid,two_year_recid,length_of_stay,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,sex_Female,sex_Male,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,c_charge_degree_F,c_charge_degree_M,Result
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(17.11, 20.49]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(19.47, 40.04]","(17.11, 20.49]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(17.11, 20.49]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(17.11, 20.49]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Positive
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(190.68, 253.36]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(190.68, 253.36]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(190.68, 253.36]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(190.68, 253.36]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(190.68, 253.36]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(190.68, 253.36]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.74, 0.92]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.74, 0.92]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.74, 0.92]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.74, 0.92]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.74, 0.92]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.92, 1.0]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.74, 0.92]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
"(19.47, 40.04]","(3.4400000000000004, 17.11]","(0.94, 190.68]","(0.74, 0.92]","(-0.01, 0.15]","(0.74, 1.0]","(-0.01, 154.77]","(0.89, 1.0]","(-0.01, 0.17]","(-0.01, 0.21]","(-0.01, 0.087]","(0.97, 1.0]","(-0.01, 0.049]","(-0.01, 0.23]","(0.98, 1.0]","(-0.01, 0.23]","(-0.01, 0.22]","(-0.01, 0.23]","(0.75, 1.0]","(-0.01, 0.21]",Negative
